date,borough,events_count,borough_normalized_events,day_normalized_events,total_events_by_borough,total_events_by_day
2015-01-27,B,2,0.00017362618282837052,0.09523809523809523,11519,21
2014-01-27,B,2,0.00017362618282837052,0.2222222222222222,11519,9
2013-04-24,B,2,0.00017362618282837052,0.1111111111111111,11519,18
2013-04-24,Q,2,0.00018700327255726976,0.1111111111111111,10695,18
2017-04-24,R,2,0.00022696323195642307,0.2857142857142857,8812,7
2019-04-21,B,2,0.00017362618282837052,0.4,11519,5
2016-01-27,Q,2,0.00018700327255726976,0.2857142857142857,10695,7
2016-01-27,R,2,0.00022696323195642307,0.2857142857142857,8812,7
2017-01-27,R,2,0.00022696323195642307,0.13333333333333333,8812,15
2018-01-27,B,2,0.00017362618282837052,0.05714285714285714,11519,35
2018-04-20,X,2,0.0001303780964797914,0.11764705882352941,15340,17
2017-04-20,X,2,0.0001303780964797914,0.1,15340,20
2015-04-20,R,2,0.00022696323195642307,0.18181818181818182,8812,11
2015-04-20,Q,2,0.00018700327255726976,0.18181818181818182,10695,11
2014-04-20,R,2,0.00022696323195642307,0.09090909090909091,8812,22
2014-04-20,Q,2,0.00018700327255726976,0.09090909090909091,10695,22
2019-01-27,B,2,0.00017362618282837052,0.3333333333333333,11519,6
2013-04-19,X,2,0.0001303780964797914,0.08333333333333333,15340,24
2014-01-28,X,2,0.0001303780964797914,0.2222222222222222,15340,9
2013-04-18,X,2,0.0001303780964797914,0.07692307692307693,15340,26
2013-04-18,R,2,0.00022696323195642307,0.07692307692307693,8812,26
2013-04-18,Q,2,0.00018700327255726976,0.07692307692307693,10695,26
2016-01-31,M,2,6.948787436592315e-05,0.15384615384615385,28782,13
2014-04-09,X,2,0.0001303780964797914,0.14285714285714285,15340,14
2014-04-09,R,2,0.00022696323195642307,0.14285714285714285,8812,14
2016-04-02,R,2,0.00022696323195642307,0.04878048780487805,8812,41
2019-02-03,B,2,0.00017362618282837052,0.3333333333333333,11519,6
2013-04-02,R,2,0.00022696323195642307,0.09523809523809523,8812,21
2016-02-03,R,2,0.00022696323195642307,0.4,8812,5
2014-04-02,R,2,0.00022696323195642307,0.125,8812,16
2014-04-02,X,2,0.0001303780964797914,0.125,15340,16
2014-02-03,B,2,0.00017362618282837052,0.16666666666666666,11519,12
2013-02-03,R,2,0.00022696323195642307,0.14285714285714285,8812,14
2018-04-03,R,2,0.00022696323195642307,0.05263157894736842,8812,38
2013-02-03,Q,2,0.00018700327255726976,0.14285714285714285,10695,14
2013-04-03,X,2,0.0001303780964797914,0.13333333333333333,15340,15
2016-04-03,Q,2,0.00018700327255726976,0.08695652173913043,10695,23
2016-04-03,R,2,0.00022696323195642307,0.08695652173913043,8812,23
2016-04-03,X,2,0.0001303780964797914,0.08695652173913043,15340,23
2017-04-03,M,2,6.948787436592315e-05,0.5,28782,4
2016-04-01,R,2,0.00022696323195642307,0.15384615384615385,8812,13
